file_name,category,trip,companion,city,hikers,photos,post
../gpx/hiking/2020-01-26_Quijorna.gpx,hiking,,,,,https://www.flickr.com/photos/yamila_moreno/albums/72157712843353342,
../gpx/hiking/2020-02-22_Circular-Navalafuente.gpx,hiking,,,,,,
../gpx/hiking/2020-02-29_Torrecilla-de-Cameros.gpx,hiking,,,,,,
../gpx/hiking/2020-07-05_Senda-de-las-Pesquerias-Reales.gpx,hiking,,,,,,
../gpx/hiking/2020-07-28_Camino-del-Ingeniero.gpx,hiking,,,,,https://www.flickr.com/photos/yamila_moreno/albums/72157715280007426,
../gpx/hiking/2020-07-30_Lagunas-de-Penalara.gpx,hiking,,,,,https://www.flickr.com/photos/yamila_moreno/albums/72157715317699798,
../gpx/hiking/2020-09-21_Parada-de-Sil.gpx,hiking,,,,,,
../gpx/hiking/2020-09-22_Miradoiros-Albergueria.gpx,hiking,,,,,,
../gpx/hiking/2020-09-24_Devesa-de-Rogueira.gpx,hiking,,,,,,
../gpx/hiking/2021-02-28_Perdigueras.gpx,hiking,,,,,,
../gpx/hiking/2021-03-06_Monte-de-la-Raya.gpx,hiking,,,,,,
../gpx/hiking/2021-03-20_Pedriza-anterior.gpx,hiking,,,,,,
../gpx/hiking/2021-04-03_Embalse-de-Nagore.gpx,hiking,,,,,,
../gpx/hiking/2021-04-17_Ruta-de-los-puentes-en-Canencia.gpx,hiking,,,,,,
../gpx/hiking/2021-05-08_Camino-Horizontal-de-Navafria.gpx,hiking,,,,,,
../gpx/hiking/2021-05-23_Senda-de-la-Barranca.gpx,hiking,,,,,,
../gpx/hiking/2021-05-29_La-Dehesa-de-Moncalvillo.gpx,hiking,,,,,,
../gpx/hiking/2021-07-24_Poza-de-Socrates.gpx,hiking,,,,,,
../gpx/hiking/2021-08-08_Paseo-por-Hoyo-de-Manzanares.gpx,hiking,,,,,,
../gpx/hiking/2021-08-15_Ruta-de-los-molinos.gpx,hiking,,,,,,
../gpx/hiking/2021-09-05_Ruta-del-jabali.gpx,hiking,,,,,,
../gpx/hiking/2021-09-15_Los-casi-siete-valles.gpx,hiking,,,,,,
../gpx/hiking/2021-10-14_Senda-de-los-paraisos.gpx,hiking,,,,,,
../gpx/hiking/2021-10-15_Robledal-de-Orgi.gpx,hiking,,,,,,
../gpx/hiking/2021-10-30_Ruta-de-los-castanhos-centenarios.gpx,hiking,,,,,,
../gpx/hiking/2021-11-01_Los-pilones.gpx,hiking,,,,,,
../gpx/hiking/2021-11-02_Garganta-de-las-Nogaleas.gpx,hiking,,,,,,
../gpx/hiking/2021-11-14_Cascada-del-Purgatorio.gpx,hiking,,,,,,
../gpx/biking/2010-08-08_Medio-anillo-ciclista.gpx,biking,,,,,,
../gpx/biking/2010-05-22_Hierbabuena-Casa-De-Campo.gpx,biking,,,,,,
../gpx/biking/2010-07-25_Paseo-del-Arga.gpx,biking,,,,,,
../gpx/biking/2012-05-20_Via-Verde-Tajuna.gpx,biking,,,,,,
../gpx/biking/2012-05-27_Casa-de-Campo-y-Madrid-Rio.gpx,biking,,,,,,
../gpx/biking/2012-06-10_Anillo-ciclista.gpx,biking,,,,,,
../gpx/biking/2012-09-02_Loire-a-Velo-1.gpx,biking,Loire à Velo,Luiyo,,yami,,
